                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.50123,                 0.5025,                0.93007,                0.99364,                0.99728,                  0.995,                0.92439,                0.35688,                0.32486,                0.72336,             0.00054478,             0.00054478,             0.00054478
                     36,                0.51191,                0.48619,                0.90401,                0.98848,                      1,                  0.995,                0.92016,                0.35817,                0.34776,                0.72601,             0.00051177,             0.00051177,             0.00051177
                     37,                0.48741,                0.46603,                0.90417,                0.99487,                0.98118,                 0.9945,                0.91308,                0.37269,                0.35483,                 0.7273,             0.00047876,             0.00047876,             0.00047876
                     38,                0.47966,                0.45469,                 0.8887,                0.99839,                  0.981,                0.99403,                0.91864,                0.32964,                0.34237,                0.69669,             0.00044576,             0.00044576,             0.00044576
                     39,                 0.4535,                0.43856,                0.91407,                0.99587,                0.99801,                  0.995,                 0.9198,                0.32807,                0.31184,                0.69279,             0.00041275,             0.00041275,             0.00041275
                     40,                0.50208,                0.52608,                0.91803,                0.98833,                      1,                  0.995,                0.91894,                 0.3269,                0.35751,                0.69363,             0.00037974,             0.00037974,             0.00037974
                     41,                0.44356,                0.48018,                0.89603,                0.98499,                0.99723,                  0.995,                0.92306,                0.34098,                0.31251,                0.71224,             0.00034674,             0.00034674,             0.00034674
                     42,                0.41624,                0.44969,                0.87549,                0.98324,                 0.9981,                  0.995,                0.92222,                0.34114,                0.30911,                0.70829,             0.00031373,             0.00031373,             0.00031373
                     43,                0.43183,                0.46544,                0.87715,                0.98428,                0.99824,                  0.995,                0.91546,                0.31818,                0.31059,                0.69858,             0.00028072,             0.00028072,             0.00028072
                     44,                0.44101,                0.44529,                0.85745,                0.98559,                 0.9983,                  0.995,                0.92763,                0.31537,                0.32389,                0.69828,             0.00024772,             0.00024772,             0.00024772
                     45,                0.42096,                0.44294,                0.86307,                0.99842,                0.98845,                  0.995,                0.92939,                0.29086,                0.26805,                0.68267,             0.00021471,             0.00021471,             0.00021471
                     46,                0.39615,                0.41393,                0.85979,                0.99835,                0.98902,                  0.995,                0.93394,                0.28559,                 0.2619,                0.68021,              0.0001817,              0.0001817,              0.0001817
                     47,                0.44287,                0.42314,                0.89114,                0.99198,                 0.9946,                  0.995,                0.93288,                 0.2737,                0.26189,                0.68264,              0.0001487,              0.0001487,              0.0001487
                     48,                0.36888,                0.38659,                0.85667,                0.98931,                0.99729,                  0.995,                0.93777,                0.26994,                0.25796,                0.67947,             0.00011569,             0.00011569,             0.00011569
                     49,                0.36149,                0.37995,                0.81726,                0.98839,                0.99836,                  0.995,                0.93402,                0.26525,                0.25683,                 0.6734,             8.2683e-05,             8.2683e-05,             8.2683e-05
