                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.41344,                0.43077,                0.89864,                0.98218,                0.97622,                0.99086,                0.94398,                0.29472,                0.34469,                0.69101,             0.00054478,             0.00054478,             0.00054478
                     36,                0.37374,                0.43207,                0.88201,                 0.9848,                0.97823,                0.99144,                0.93548,                0.29331,                0.35978,                0.69836,             0.00051177,             0.00051177,             0.00051177
                     37,                0.39518,                0.40582,                0.89155,                0.99445,                0.98077,                0.98952,                0.92647,                0.32004,                 0.3671,                0.71383,             0.00047876,             0.00047876,             0.00047876
                     38,                 0.3674,                0.38323,                0.87679,                0.99642,                0.97944,                0.99009,                0.94498,                0.30937,                 0.3605,                 0.7116,             0.00044576,             0.00044576,             0.00044576
                     39,                0.34457,                0.37625,                0.87986,                0.99318,                0.99038,                0.99035,                0.93062,                0.31598,                0.33352,                0.72949,             0.00041275,             0.00041275,             0.00041275
                     40,                0.33016,                0.39776,                0.89281,                 0.9858,                0.98077,                 0.9894,                0.92197,                 0.3522,                0.49187,                0.77169,             0.00037974,             0.00037974,             0.00037974
                     41,                0.31704,                 0.3951,                0.84456,                0.98488,                0.98021,                0.99033,                0.92095,                0.34308,                0.38354,                0.74998,             0.00034674,             0.00034674,             0.00034674
                     42,                0.33806,                0.38717,                 0.8503,                0.97861,                0.98077,                0.98894,                0.93988,                0.30333,                0.33229,                0.72046,             0.00031373,             0.00031373,             0.00031373
                     43,                0.31695,                0.37564,                0.84492,                0.99245,                0.98077,                0.99015,                0.94164,                0.29323,                0.32129,                 0.7087,             0.00028072,             0.00028072,             0.00028072
                     44,                0.31201,                0.36904,                0.84882,                0.99383,                0.99038,                 0.9904,                0.94187,                0.31194,                0.31453,                0.72017,             0.00024772,             0.00024772,             0.00024772
                     45,                 0.2775,                0.35605,                0.82343,                0.99278,                0.99038,                0.99151,                0.94269,                0.29687,                0.30812,                0.71819,             0.00021471,             0.00021471,             0.00021471
                     46,                0.29763,                0.33584,                0.84347,                0.99348,                0.99038,                0.99127,                0.93994,                0.29772,                0.30383,                 0.7207,              0.0001817,              0.0001817,              0.0001817
                     47,                0.28354,                0.33428,                0.82523,                0.99388,                0.99038,                0.99096,                 0.9366,                0.28904,                0.29071,                0.71577,              0.0001487,              0.0001487,              0.0001487
                     48,                0.26172,                0.32742,                0.81672,                0.99433,                0.99038,                0.99048,                0.94171,                0.28436,                0.29587,                0.71293,             0.00011569,             0.00011569,             0.00011569
                     49,                0.26758,                0.33106,                0.83309,                0.99453,                0.99038,                0.99053,                0.94012,                0.28041,                0.29771,                0.70986,             8.2683e-05,             8.2683e-05,             8.2683e-05
