                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.60767,                0.54099,                0.87625,                0.99034,                0.98131,                 0.9945,                0.87723,                0.52976,                0.44186,                0.95131,             0.00054478,             0.00054478,             0.00054478
                     36,                0.60734,                0.54515,                0.87899,                0.99582,                0.96552,                  0.994,                0.88085,                0.51133,                0.39615,                0.92254,             0.00051177,             0.00051177,             0.00051177
                     37,                0.60308,                0.56062,                0.88407,                0.99371,                0.98034,                0.99279,                0.86412,                0.53704,                0.41135,                0.92345,             0.00047876,             0.00047876,             0.00047876
                     38,                0.60073,                0.52625,                 0.8738,                0.99728,                0.96552,                0.99266,                0.89383,                0.49589,                0.41223,                0.91205,             0.00044576,             0.00044576,             0.00044576
                     39,                0.58337,                0.50202,                0.85647,                0.98703,                0.98083,                 0.9945,                0.88304,                0.45452,                0.39143,                0.91263,             0.00041275,             0.00041275,             0.00041275
                     40,                0.54924,                0.55368,                0.83553,                0.98525,                0.98102,                 0.9945,                0.87322,                0.45672,                0.41614,                0.91359,             0.00037974,             0.00037974,             0.00037974
                     41,                0.55121,                0.54908,                0.86112,                0.98274,                0.99687,                  0.995,                0.88462,                0.44581,                0.40869,                0.91523,             0.00034674,             0.00034674,             0.00034674
                     42,                0.53595,                0.52344,                0.84626,                0.98298,                0.99681,                  0.995,                0.89491,                0.45931,                0.37222,                0.92423,             0.00031373,             0.00031373,             0.00031373
                     43,                0.47909,                0.49274,                0.81452,                0.98307,                0.99668,                  0.995,                0.89213,                0.44449,                0.37496,                0.91226,             0.00028072,             0.00028072,             0.00028072
                     44,                0.47885,                0.48191,                0.83867,                0.98631,                0.98276,                 0.9945,                  0.884,                0.40777,                0.33733,                0.90527,             0.00024772,             0.00024772,             0.00024772
                     45,                 0.4812,                0.48343,                0.84601,                 0.9848,                0.99707,                  0.995,                0.89812,                0.39779,                 0.3295,                0.90584,             0.00021471,             0.00021471,             0.00021471
                     46,                0.48603,                0.46916,                0.83335,                0.98479,                0.99746,                  0.995,                0.89207,                0.40349,                0.33067,                0.90492,              0.0001817,              0.0001817,              0.0001817
                     47,                0.47169,                0.46451,                0.82424,                0.98489,                0.99742,                  0.995,                0.89286,                0.43223,                0.33805,                0.90519,              0.0001487,              0.0001487,              0.0001487
                     48,                0.47922,                 0.4741,                0.83598,                0.98581,                0.99738,                  0.995,                0.89376,                0.43447,                0.33602,                0.90384,             0.00011569,             0.00011569,             0.00011569
                     49,                0.45314,                0.45618,                0.83573,                0.98697,                 0.9971,                  0.995,                0.89304,                0.41394,                 0.3285,                0.90372,             8.2683e-05,             8.2683e-05,             8.2683e-05
