                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.86528,                 1.0633,                 1.1159,                0.69901,                0.53962,                0.59388,                 0.3877,                 1.2645,                 1.7207,                 1.3761,             0.00019273,             0.00019273,             0.00019273
                     34,                0.80694,                 1.1317,                 1.1065,                0.67836,                0.55444,                0.59052,                0.38622,                 1.2947,                 1.7127,                 1.3904,             0.00018231,             0.00018231,             0.00018231
                     35,                0.84732,                 1.0585,                 1.1174,                0.71704,                0.52608,                0.59297,                 0.3871,                 1.2713,                 1.6833,                 1.3742,              0.0001719,              0.0001719,              0.0001719
                     36,                0.83625,                 1.0804,                  1.118,                0.64804,                0.59644,                0.61048,                0.40629,                 1.2569,                 1.6415,                  1.368,             0.00016148,             0.00016148,             0.00016148
                     37,                0.82876,                  1.023,                 1.1095,                0.63304,                0.56586,                0.58612,                0.38054,                 1.2858,                  1.728,                 1.4027,             0.00015107,             0.00015107,             0.00015107
                     38,                0.80927,                 1.0254,                 1.1031,                0.62468,                0.56561,                0.59264,                0.39145,                 1.2436,                 1.6568,                 1.3541,             0.00014065,             0.00014065,             0.00014065
                     39,                0.80424,                0.99413,                 1.0909,                0.67811,                 0.5449,                0.59326,                0.39465,                 1.2785,                 1.6703,                 1.3612,             0.00013024,             0.00013024,             0.00013024
                     40,                0.81963,                 1.1775,                 1.0721,                0.65965,                0.51997,                0.55558,                0.35928,                 1.3209,                 1.8524,                 1.4198,             0.00011982,             0.00011982,             0.00011982
                     41,                0.77875,                 1.1381,                 1.0522,                0.64465,                0.56051,                0.57481,                0.37807,                  1.266,                  1.669,                 1.3801,             0.00010941,             0.00010941,             0.00010941
                     42,                 0.7791,                 1.0262,                 1.0685,                0.61272,                  0.547,                0.57194,                0.37189,                 1.2619,                 1.6672,                 1.3704,             9.8993e-05,             9.8993e-05,             9.8993e-05
                     43,                0.78192,                 1.0382,                  1.087,                0.61214,                0.57122,                0.58861,                0.38517,                  1.243,                 1.6621,                  1.359,             8.8578e-05,             8.8578e-05,             8.8578e-05
                     44,                0.76181,                 1.0019,                  1.052,                0.66794,                0.57905,                0.61108,                0.40449,                  1.239,                 1.6249,                 1.3623,             7.8164e-05,             7.8164e-05,             7.8164e-05
                     45,                0.73015,                 1.0047,                 1.0532,                0.68002,                0.57559,                0.61059,                0.40276,                 1.2461,                 1.6285,                 1.3604,             6.7749e-05,             6.7749e-05,             6.7749e-05
                     46,                0.72982,                0.99176,                 1.0283,                0.68968,                0.58971,                0.61244,                0.40752,                 1.2382,                 1.6188,                 1.3599,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     47,                0.72243,                0.90632,                  1.007,                0.72248,                0.56673,                0.61638,                0.40756,                 1.2351,                 1.6136,                 1.3495,             4.6919e-05,             4.6919e-05,             4.6919e-05
                     48,                 0.6776,                0.87433,                 1.0132,                0.70307,                0.55201,                0.61435,                0.40509,                 1.2383,                 1.6268,                 1.3542,             3.6504e-05,             3.6504e-05,             3.6504e-05
                     49,                0.73265,                 1.0232,                 1.0564,                0.69761,                  0.571,                0.61295,                0.40726,                 1.2357,                 1.6075,                 1.3524,              2.609e-05,              2.609e-05,              2.609e-05
