                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.48181,                0.45562,                 0.8757,                0.98682,                0.98687,                0.99183,                0.90143,                0.38864,                0.35086,                0.76951,               0.000467,               0.000467,               0.000467
                     36,                 0.4657,                0.43491,                0.89724,                0.99151,                0.97555,                0.99337,                 0.9038,                0.39617,                0.34781,                0.78675,              0.0004387,              0.0004387,              0.0004387
                     37,                0.47764,                0.44806,                0.89026,                0.97937,                0.96761,                0.98522,                0.89129,                 0.3805,                0.36332,                0.77994,             0.00041041,             0.00041041,             0.00041041
                     38,                0.44814,                0.41974,                0.87828,                0.98239,                 0.9899,                0.99287,                0.90349,                0.38401,                0.32745,                0.78577,             0.00038211,             0.00038211,             0.00038211
                     39,                0.44989,                0.41916,                0.88039,                0.99118,                 0.9899,                0.99315,                0.91338,                0.36326,                0.31934,                0.76523,             0.00035382,             0.00035382,             0.00035382
                     40,                0.42526,                0.40928,                 0.8598,                0.98627,                0.98265,                0.99278,                0.90629,                0.40147,                0.34918,                0.77621,             0.00032553,             0.00032553,             0.00032553
                     41,                0.41536,                0.39805,                0.85364,                0.98757,                0.98337,                0.99278,                0.90772,                0.37272,                0.35808,                0.77368,             0.00029723,             0.00029723,             0.00029723
                     42,                0.38475,                  0.381,                0.84315,                0.98857,                0.98485,                0.99243,                0.91781,                0.36298,                0.35521,                0.76866,             0.00026894,             0.00026894,             0.00026894
                     43,                0.39632,                0.38438,                0.82849,                0.98876,                 0.9899,                0.99246,                0.91019,                0.36431,                0.33552,                0.76624,             0.00024064,             0.00024064,             0.00024064
                     44,                0.37785,                0.36754,                0.82451,                0.98898,                0.98277,                0.99306,                0.91777,                0.35153,                0.30948,                0.75379,             0.00021235,             0.00021235,             0.00021235
                     45,                0.38604,                0.36422,                0.84257,                0.98896,                 0.9798,                0.99369,                0.90774,                0.34558,                0.30299,                0.75234,             0.00018406,             0.00018406,             0.00018406
                     46,                0.34505,                0.34484,                 0.8326,                0.99104,                 0.9798,                0.99341,                0.91688,                0.33631,                0.30224,                0.75806,             0.00015576,             0.00015576,             0.00015576
                     47,                0.34122,                0.35114,                0.84187,                0.99191,                0.97908,                0.99349,                0.92017,                0.33368,                0.29749,                 0.7531,             0.00012747,             0.00012747,             0.00012747
                     48,                0.34978,                0.32909,                0.81825,                0.99197,                0.98228,                0.99377,                0.92181,                0.33713,                0.29753,                0.75408,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.33776,                0.32765,                0.82967,                0.99148,                0.98278,                0.99384,                0.92647,                0.32215,                0.28946,                0.74927,             7.0878e-05,             7.0878e-05,             7.0878e-05
